"GDP observation_date","Gross Domestic Product","Transaction"
"01/01/1947 12:00:00 AM","243.1","GDP"
"04/01/1947 12:00:00 AM","246.3","GDP"
"07/01/1947 12:00:00 AM","250.1","GDP"
"10/01/1947 12:00:00 AM","260.3","GDP"
"01/01/1948 12:00:00 AM","266.2","GDP"
"04/01/1948 12:00:00 AM","272.9","GDP"
"07/01/1948 12:00:00 AM","279.5","GDP"
"10/01/1948 12:00:00 AM","280.7","GDP"
"01/01/1949 12:00:00 AM","275.4","GDP"
"04/01/1949 12:00:00 AM","271.7","GDP"
"07/01/1949 12:00:00 AM","273.3","GDP"
"10/01/1949 12:00:00 AM","271","GDP"
"01/01/1950 12:00:00 AM","281.2","GDP"
"04/01/1950 12:00:00 AM","290.7","GDP"
"07/01/1950 12:00:00 AM","308.5","GDP"
"10/01/1950 12:00:00 AM","320.3","GDP"
"01/01/1951 12:00:00 AM","336.4","GDP"
"04/01/1951 12:00:00 AM","344.5","GDP"
"07/01/1951 12:00:00 AM","351.8","GDP"
"10/01/1951 12:00:00 AM","356.6","GDP"
"01/01/1952 12:00:00 AM","360.2","GDP"
"04/01/1952 12:00:00 AM","361.4","GDP"
"07/01/1952 12:00:00 AM","368.1","GDP"
"10/01/1952 12:00:00 AM","381.2","GDP"
"01/01/1953 12:00:00 AM","388.5","GDP"
"04/01/1953 12:00:00 AM","392.3","GDP"
"07/01/1953 12:00:00 AM","391.7","GDP"
"10/01/1953 12:00:00 AM","386.5","GDP"
"01/01/1954 12:00:00 AM","385.9","GDP"
"04/01/1954 12:00:00 AM","386.7","GDP"
"07/01/1954 12:00:00 AM","391.6","GDP"
"10/01/1954 12:00:00 AM","400.3","GDP"
"01/01/1955 12:00:00 AM","413.8","GDP"
"04/01/1955 12:00:00 AM","422.2","GDP"
"07/01/1955 12:00:00 AM","430.9","GDP"
"10/01/1955 12:00:00 AM","437.8","GDP"
"01/01/1956 12:00:00 AM","440.5","GDP"
"04/01/1956 12:00:00 AM","446.8","GDP"
"07/01/1956 12:00:00 AM","452","GDP"
"10/01/1956 12:00:00 AM","461.3","GDP"
"01/01/1957 12:00:00 AM","470.6","GDP"
"04/01/1957 12:00:00 AM","472.8","GDP"
"07/01/1957 12:00:00 AM","480.3","GDP"
"10/01/1957 12:00:00 AM","475.7","GDP"
"01/01/1958 12:00:00 AM","468.4","GDP"
"04/01/1958 12:00:00 AM","472.8","GDP"
"07/01/1958 12:00:00 AM","486.7","GDP"
"10/01/1958 12:00:00 AM","500.4","GDP"
"01/01/1959 12:00:00 AM","511.1","GDP"
"04/01/1959 12:00:00 AM","524.2","GDP"
"07/01/1959 12:00:00 AM","525.2","GDP"
"10/01/1959 12:00:00 AM","529.3","GDP"
"01/01/1960 12:00:00 AM","543.3","GDP"
"04/01/1960 12:00:00 AM","542.7","GDP"
"07/01/1960 12:00:00 AM","546","GDP"
"10/01/1960 12:00:00 AM","541.1","GDP"
"01/01/1961 12:00:00 AM","545.9","GDP"
"04/01/1961 12:00:00 AM","557.4","GDP"
"07/01/1961 12:00:00 AM","568.2","GDP"
"10/01/1961 12:00:00 AM","581.6","GDP"
"01/01/1962 12:00:00 AM","595.2","GDP"
"04/01/1962 12:00:00 AM","602.6","GDP"
"07/01/1962 12:00:00 AM","609.6","GDP"
"10/01/1962 12:00:00 AM","613.1","GDP"
"01/01/1963 12:00:00 AM","622.7","GDP"
"04/01/1963 12:00:00 AM","631.8","GDP"
"07/01/1963 12:00:00 AM","645","GDP"
"10/01/1963 12:00:00 AM","654.8","GDP"
"01/01/1964 12:00:00 AM","671.1","GDP"
"04/01/1964 12:00:00 AM","680.8","GDP"
"07/01/1964 12:00:00 AM","692.8","GDP"
"10/01/1964 12:00:00 AM","698.4","GDP"
"01/01/1965 12:00:00 AM","719.2","GDP"
"04/01/1965 12:00:00 AM","732.4","GDP"
"07/01/1965 12:00:00 AM","750.2","GDP"
"10/01/1965 12:00:00 AM","773.1","GDP"
"01/01/1966 12:00:00 AM","797.3","GDP"
"04/01/1966 12:00:00 AM","807.2","GDP"
"07/01/1966 12:00:00 AM","820.8","GDP"
"10/01/1966 12:00:00 AM","834.9","GDP"
"01/01/1967 12:00:00 AM","846","GDP"
"04/01/1967 12:00:00 AM","851.1","GDP"
"07/01/1967 12:00:00 AM","866.6","GDP"
"10/01/1967 12:00:00 AM","883.2","GDP"
"01/01/1968 12:00:00 AM","911.1","GDP"
"04/01/1968 12:00:00 AM","936.3","GDP"
"07/01/1968 12:00:00 AM","952.3","GDP"
"10/01/1968 12:00:00 AM","970.1","GDP"
"01/01/1969 12:00:00 AM","995.4","GDP"
"04/01/1969 12:00:00 AM","1011.4","GDP"
"07/01/1969 12:00:00 AM","1032","GDP"
"10/01/1969 12:00:00 AM","1040.7","GDP"
"01/01/1970 12:00:00 AM","1053.5","GDP"
"04/01/1970 12:00:00 AM","1070.1","GDP"
"07/01/1970 12:00:00 AM","1088.5","GDP"
"10/01/1970 12:00:00 AM","1091.5","GDP"
"01/01/1971 12:00:00 AM","1137.8","GDP"
"04/01/1971 12:00:00 AM","1159.4","GDP"
"07/01/1971 12:00:00 AM","1180.3","GDP"
"10/01/1971 12:00:00 AM","1193.6","GDP"
"01/01/1972 12:00:00 AM","1233.8","GDP"
"04/01/1972 12:00:00 AM","1270.1","GDP"
"07/01/1972 12:00:00 AM","1293.8","GDP"
"10/01/1972 12:00:00 AM","1332","GDP"
"01/01/1973 12:00:00 AM","1380.7","GDP"
"04/01/1973 12:00:00 AM","1417.6","GDP"
"07/01/1973 12:00:00 AM","1436.8","GDP"
"10/01/1973 12:00:00 AM","1479.1","GDP"
"01/01/1974 12:00:00 AM","1494.7","GDP"
"04/01/1974 12:00:00 AM","1534.2","GDP"
"07/01/1974 12:00:00 AM","1563.4","GDP"
"10/01/1974 12:00:00 AM","1603","GDP"
"01/01/1975 12:00:00 AM","1619.6","GDP"
"04/01/1975 12:00:00 AM","1656.4","GDP"
"07/01/1975 12:00:00 AM","1713.8","GDP"
"10/01/1975 12:00:00 AM","1765.9","GDP"
"01/01/1976 12:00:00 AM","1824.5","GDP"
"04/01/1976 12:00:00 AM","1856.9","GDP"
"07/01/1976 12:00:00 AM","1890.5","GDP"
"10/01/1976 12:00:00 AM","1938.4","GDP"
"01/01/1977 12:00:00 AM","1992.5","GDP"
"04/01/1977 12:00:00 AM","2060.2","GDP"
"07/01/1977 12:00:00 AM","2122.4","GDP"
"10/01/1977 12:00:00 AM","2168.7","GDP"
"01/01/1978 12:00:00 AM","2208.7","GDP"
"04/01/1978 12:00:00 AM","2336.6","GDP"
"07/01/1978 12:00:00 AM","2398.9","GDP"
"10/01/1978 12:00:00 AM","2482.2","GDP"
